entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2025-10-23,JKTYRE.NS,85.0,85.0,0.0,1
2025-10-23,CENTRALBK.NS,22.0,22.0,0.0,1
2025-10-23,PNB.NS,76.0,76.0,0.0,1
2025-10-23,SBIN.NS,78.0,78.0,0.0,1
2025-10-30,ABCAPITAL.NS,96.0,96.0,0.0,1
2025-10-30,IOC.NS,70.0,70.0,0.0,1
2025-10-30,BPCL.NS,71.0,71.0,0.0,1
2025-10-30,MRPL.NS,79.0,79.0,0.0,1
2025-11-07,LTF.NS,98.0,98.0,0.0,1
2025-11-07,ABCAPITAL.NS,97.0,97.0,0.0,1
2025-11-07,SBIN.NS,80.0,80.0,0.0,1
2025-11-14,GICRE.NS,37.0,37.0,0.0,1
2025-11-14,VIYASH.NS,87.0,87.0,0.0,1
2025-11-14,ASIANPAINT.NS,78.0,78.0,0.0,1
2025-11-21,TCS.NS,17.0,17.0,0.0,1
2025-11-21,SANSERA.NS,84.0,84.0,0.0,1
2025-11-28,ABCAPITAL.NS,98.0,98.0,0.0,1
2025-12-05,TCS.NS,32.0,31.0,-1.0,1
2025-12-05,BSOFT.NS,51.0,51.0,0.0,1
2025-12-12,GMRAIRPORT.NS,90.0,90.0,0.0,1
2025-12-19,SHRIRAMFIN.NS,95.0,95.0,0.0,1
2025-12-29,SUNDARMFIN.NS,75.0,76.0,1.0,1
2025-12-29,SUNTV.NS,43.0,44.0,1.0,1
2026-01-05,MARICO.NS,72.0,72.0,0.0,1
2026-01-05,SAILIFE.NS,80.0,80.0,0.0,1
2026-01-05,HINDPETRO.NS,79.0,79.0,0.0,1
2026-01-05,MSUMI.NS,49.0,49.0,0.0,1
2026-01-20,DALBHARAT.NS,76.0,76.0,0.0,1
2026-01-28,ONGC.NS,73.0,73.0,0.0,1
2026-01-28,VEDL.NS,98.0,98.0,0.0,1
2026-01-28,AXISBANK.NS,85.0,85.0,0.0,1
2026-01-28,HAL.NS,69.0,69.0,0.0,1
2026-01-28,JINDALSTEL.NS,84.0,84.0,0.0,1
2026-01-28,OIL.NS,83.0,83.0,0.0,1
2026-02-03,BHARATFORG.NS,88.0,88.0,0.0,1
2026-02-03,JKTYRE.NS,96.0,96.0,0.0,1
2026-02-10,TATASTEEL.NS,91.0,92.0,1.0,1
2026-02-24,NTPC.NS,81.0,81.0,0.0,1
2026-02-24,BANKINDIA.NS,95.0,95.0,0.0,1
2026-02-24,CENTRALBK.NS,55.0,54.0,-1.0,1
2026-03-04,JINDALSTEL.NS,87.0,87.0,0.0,1
2026-03-04,LUPIN.NS,83.0,84.0,1.0,1
2026-03-04,INDIANB.NS,95.0,95.0,0.0,1
2026-04-13,SARDAEN.NS,83.0,83.0,0.0,1
2026-04-13,ADANIPOWER.NS,93.0,94.0,1.0,1
2026-04-21,RADICO.NS,78.0,78.0,0.0,1
2026-04-28,GRASIM.NS,52.0,52.0,0.0,1
2026-05-06,CGCL.NS,66.0,66.0,0.0,1
2026-05-06,LUPIN.NS,78.0,78.0,0.0,1
2026-05-06,SHILPAMED.NS,88.0,88.0,0.0,1
2026-05-13,BERGEPAINT.NS,47.0,47.0,0.0,1
2026-05-13,ANURAS.NS,84.0,84.0,0.0,1
2026-05-13,BIOCON.NS,73.0,73.0,0.0,1
2026-05-20,GLAND.NS,86.0,86.0,0.0,1
2026-05-20,MANKIND.NS,75.0,76.0,1.0,1
2026-05-20,POLICYBZR.NS,69.0,69.0,0.0,1
2026-05-20,ZYDUSLIFE.NS,72.0,72.0,0.0,1
2026-05-20,VIYASH.NS,84.0,84.0,0.0,1
2026-05-27,ATGL.NS,90.0,90.0,0.0,1
2026-05-27,IFCI.NS,80.0,80.0,0.0,1
2026-05-27,VIYASH.NS,82.0,82.0,0.0,1
2026-05-27,USHAMART.NS,88.0,88.0,0.0,1
2026-05-27,JSWENERGY.NS,79.0,79.0,0.0,1
2026-06-04,CGPOWER.NS,89.0,89.0,0.0,1
2026-06-18,RADICO.NS,83.0,83.0,0.0,1
